c,h,d,objective,cagr,mdd,turnover,changes
1,0.0,45,-0.008906679671659302,0.0823060369025157,0.6793722400149085,10.116808536583932,89
1,0.0,60,-0.053811164372765646,0.08192605505685191,0.7491053419763245,9.281435668639064,69
1,0.0,75,0.3067985964035957,0.14991218540542084,0.5679117997194416,8.716174682516199,55
1,0.0,90,-0.034002834445132135,0.08112798633791463,0.72352165552254,8.238664799331174,46
1,2.0,45,0.021930312746007725,0.08573734880995176,0.6515757486446859,10.108408444129815,88
1,2.0,60,-0.030137285908111305,0.07863722930682959,0.6993677596672553,9.116485197921111,68
1,2.0,75,0.2283049073453181,0.14038842916426786,0.6203720549813578,8.687055036964018,55
1,2.0,90,0.01415858449408565,0.10243971549285358,0.7560795422356055,8.27549548264434,46
1,5.0,45,0.12894727763037525,0.12051284176309984,0.6700447046461624,10.067081045067443,85
1,5.0,60,0.20907491588370952,0.12147480449960724,0.5719931406088326,8.780425186708227,65
1,5.0,75,0.13057701270308716,0.1223842011965659,0.6835322833402024,8.966959888424846,53
1,5.0,90,0.04165408346833854,0.08617099981671839,0.6332112901893208,8.813566797425455,45
1,8.0,45,0.006869915119945343,0.08655203310466408,0.6871583407029009,9.582551172786726,79
1,8.0,60,0.09350005376037485,0.10365002097733433,0.6447061589003631,9.446405828640598,62
1,8.0,75,-0.03784103277008415,0.07712489260386479,0.7114337468034087,8.782713460804688,52
1,8.0,90,0.05894218505384129,0.09558328124804638,0.6612894623754633,8.47328314233993,42
1,10.0,45,-0.04649624215861546,0.08195200827639537,0.7446259453788744,9.267277693481367,74
1,10.0,60,-0.018227167182176016,0.09526748600828316,0.7625945080936614,8.973572704431795,59
1,10.0,75,-0.009239141938487103,0.08162939298928684,0.69459004398465,8.938164095470814,52
1,10.0,90,0.03332996497721748,0.08776620828686688,0.6568453420126671,8.234154878784423,42
2,0.0,45,-0.03858851921430469,0.07918531625464631,0.7103411183172357,10.026381029615548,88
2,0.0,60,-0.005384301897517617,0.0792110550318228,0.6619242774830167,9.016893484325152,67
2,0.0,75,0.06487674243188857,0.09615216891397704,0.6732985195248102,8.342545146142518,54
2,0.0,90,0.10206270618305867,0.09968730897758271,0.6105344467734315,8.441978501870922,45
2,2.0,45,0.06217526718666569,0.09992971932692707,0.6631077732940251,10.177854321166338,86
2,2.0,60,-0.003106119239159842,0.08295551543198498,0.6812425940009685,8.82731537039254,64
2,2.0,75,-0.00054959108424215,0.09175438709026795,0.7229322791608487,8.340556224451158,53
2,2.0,90,0.012504623975057246,0.09732822627544824,0.7250663956881502,8.600916580266933,45
2,5.0,45,0.04623116275271866,0.09480496352619561,0.6694071508350694,9.662743063339828,85
2,5.0,60,0.10135155194019957,0.1029013904066034,0.6211965667698864,8.910851954696318,61
2,5.0,75,-0.09422255442570122,0.07167254395905576,0.7699431042535668,8.657935456022573,51
2,5.0,90,-0.04283040151319846,0.06763068639269099,0.6634464079105942,8.402909578298265,43
2,8.0,45,0.03550789332356263,0.10571768667588333,0.7388839951392441,9.30541884972268,78
2,8.0,60,-0.09303397446533375,0.06740491586842512,0.7453971101593007,8.624599997528426,57
2,8.0,75,-0.05215127318848854,0.0830619297539783,0.7539982843980818,8.925145672559255,51
2,8.0,90,-0.05363728808202179,0.08372260418748612,0.7654336593865109,8.253865158244306,41
2,10.0,45,-0.003713701329408757,0.09546358046598802,0.7482350382294762,9.355959645323239,69
2,10.0,60,-0.026229517709620925,0.08350721856422605,0.7231354543939253,8.489547058161483,54
2,10.0,75,0.10781270441576492,0.10245607536412638,0.6343034099415654,8.356270496452506,47
2,10.0,90,0.06000780299909177,0.09698450841104211,0.6811828788650296,8.411039657080185,40
3,0.0,45,-0.09698958130503998,0.07579070514138153,0.786475421279496,9.634112915281493,83
3,0.0,60,-0.09090211970498067,0.06141908363570203,0.7021173286650861,9.119710900066401,63
3,0.0,75,-0.03968066620767583,0.08075065537697901,0.7263812418459411,8.59145784992569,53
3,0.0,90,-0.054608538839379404,0.07611754080639499,0.7229994528454633,8.509412987790954,44
3,2.0,45,-0.10116887711132211,0.07495557052190982,0.788557702556431,9.695173720676113,83
3,2.0,60,-0.09832671636544238,0.05809100792096089,0.6976616651053581,8.65156520012646,62
3,2.0,75,-0.06328395643253022,0.07369759872192794,0.7295715899851578,8.358959383428802,49
3,2.0,90,0.04668260875113585,0.10598784459559019,0.7166177169383822,8.705091342785668,44
3,5.0,45,0.06580902171598152,0.10441185732816693,0.6835878752047586,9.844369109372401,76
3,5.0,60,0.20303730342855672,0.12936950095076294,0.5961892988684621,9.220809926581964,59
3,5.0,75,-0.027773406783008686,0.08408176841359771,0.7253998057666622,8.391456370677457,50
3,5.0,90,0.049094785595693344,0.09309894397907015,0.6760895842487492,8.401064063554033,42
3,8.0,45,0.015569376153257396,0.09445664028370682,0.7091182560632898,9.693516000723505,70
3,8.0,60,0.015388398614967411,0.09755428622024365,0.7193323735398627,8.815670505600572,53
3,8.0,75,0.17718279425938646,0.12500518807447047,0.6239943614720233,8.688915514579378,46
3,8.0,90,-0.045935658757390155,0.08687422126193334,0.7676414592040135,8.135295454817708,40
3,10.0,45,0.057731010027373436,0.10652634173676678,0.7077579489781972,9.561369780608297,65
3,10.0,60,-0.06975528201636055,0.07825010188148496,0.7582271600361714,8.956083670589813,48
3,10.0,75,0.2017448020488898,0.13227140260134296,0.6239943614720233,8.479089164376294,42
3,10.0,90,-0.06769595788518547,0.07987325816104862,0.7675872284989147,8.167531120236209,38
5,0.0,45,0.04689550524239807,0.10609126173420913,0.7183792443844237,9.580490397726267,75
5,0.0,60,-0.048986761900777075,0.07867231514022688,0.7327967339438326,8.83028310418363,58
5,0.0,75,0.0194497901409767,0.09301488602986363,0.6976723656602775,8.629485378723478,49
5,0.0,90,-0.0698532772887738,0.072586509084402,0.7361571005825668,8.144330924486288,42
5,2.0,45,0.146408481270373,0.1219856103317758,0.6561481793882218,9.657361043151116,73
5,2.0,60,-0.04379116789901061,0.08119837206911296,0.7327967339438326,9.057500864024622,55
5,2.0,75,0.08080700496582532,0.11152395133332904,0.6976723656602777,8.55776013258386,47
5,2.0,90,-0.03329638793805067,0.08359116898687535,0.7361571005825668,8.161474944147933,42
5,5.0,45,0.12639798744128855,0.1189826999655339,0.6658577736847107,9.440716405534467,66
5,5.0,60,-0.035187144596710726,0.08381039365772369,0.7355385426510368,8.851920510121905,51
5,5.0,75,0.08556580031566248,0.11286609352513577,0.6976723656602777,8.633641604355443,46
5,5.0,90,-0.018666384075650116,0.08901363321172906,0.7415880966879795,7.957191910633426,38
5,8.0,45,0.0033555013725371785,0.09570923687196298,0.7350957307564128,9.276728788973148,54
5,8.0,60,-0.010610553920836863,0.09029296813020848,0.7301952766678094,8.610569150333832,45
5,8.0,75,-0.02869848529976379,0.08274548033537243,0.7177766887993267,8.299990775595246,38
5,8.0,90,-0.08970151745642255,0.06745607700432643,0.7415880966879795,7.794912185819048,37
5,10.0,45,0.008249063148756817,0.09558242708717057,0.7284145663425667,9.119869313148323,50
5,10.0,60,-0.025781980700578012,0.08522944932898535,0.7284145663425667,8.480421799961345,43
5,10.0,75,-0.005442606610048174,0.08904333007747844,0.7146380568160716,8.238875191050319,35
